num_players,trial,item_id,congestion,dV,dP
36,0,7,22,0.0,-0.7755509694455738
36,0,17,26,0.0,0.0
36,0,8,17,0.0,0.0
36,0,18,31,0.0,-0.3582736691000936
36,0,9,19,0.0,-0.15
36,0,19,30,0.0,-1.4595681099517455
36,0,10,13,2.0,0.0
36,0,20,31,2.0,-0.7214185329014118
36,0,11,13,0.0,0.0
36,0,21,31,0.0,-0.8453057819112094
36,0,12,13,0.0,0.0
36,0,22,30,0.0,-1.0507608322669335
36,0,13,15,0.0,0.0
36,0,23,27,0.0,-0.175
36,1,0,16,0.0,0.0
36,1,16,24,0.0,0.0
36,1,1,19,0.0,-0.021339511862996496
36,1,17,26,0.0,-0.07946672908608787
36,1,2,20,0.0,-0.05
36,1,18,31,0.0,0.29608071598202645
36,1,3,21,0.0,0.0
36,1,19,30,0.0,-0.20144461130967328
36,1,4,24,0.0,-0.05619030415499997
36,1,20,31,0.0,0.6586083750611
36,1,5,27,2.0,0.0
36,1,21,31,2.0,-0.4372444931785623
36,1,6,22,0.0,0.1
36,1,22,30,0.0,-0.2305543941736246
36,1,7,22,0.0,0.09999999999999998
36,1,23,27,0.0,-0.5230948228428223
36,2,5,27,0.0,0.0
36,2,11,13,0.0,0.07269045336350398
36,2,6,22,0.0,0.012677005923112841
36,2,12,13,0.0,0.0019098322744819595
36,2,7,22,0.0,-0.5499999999999999
36,2,13,15,0.0,0.0
36,2,8,17,2.0,0.05792814241540832
36,2,14,15,2.0,0.0
36,2,9,19,0.0,-0.4
36,2,15,16,0.0,0.0
36,3,6,22,0.0,-0.006513901140940553
36,3,16,24,0.0,0.0
36,3,7,22,0.0,-0.10910617129813865
36,3,17,26,0.0,0.0
36,3,8,17,0.0,0.0
36,3,18,31,0.0,-0.6788093644329065
36,3,9,19,0.0,-0.09520156720089903
36,3,19,30,0.0,-1.3115283672396594
36,3,10,13,0.0,0.0
36,3,20,31,0.0,-0.9516748760008817
36,3,11,13,0.0,0.0
36,3,21,31,0.0,-0.46682269309485835
36,3,12,13,-2.0,-0.06100485579588939
36,3,22,30,-2.0,0.3918410120595103
36,3,13,15,2.0,0.0
36,3,23,27,2.0,0.3
36,4,5,27,0.0,0.05
36,4,15,16,0.0,0.006257541798652311
36,4,6,22,0.0,-0.21951967570136355
36,4,16,24,0.0,0.0
36,4,7,22,0.0,-0.2572722125217217
36,4,17,26,0.0,-0.325
36,4,8,17,0.0,0.05
36,4,18,31,0.0,0.05955942174845663
36,4,9,19,0.0,0.0
36,4,19,30,0.0,-1.0508804945590893
36,4,10,13,0.0,0.0
36,4,20,31,0.0,0.22727222733766483
36,4,11,13,0.0,-0.04568588689763161
36,4,21,31,0.0,-0.5405583479236835
36,4,12,13,0.0,-0.04290714724422656
36,4,22,30,0.0,-0.43931267991754247
36,4,13,15,2.0,-0.027475527086142527
36,4,23,27,2.0,-0.3034229079553798
36,5,0,16,0.0,0.0
36,5,18,31,0.0,-0.9503313073829748
36,5,1,19,0.0,-0.046520820030801914
36,5,19,30,0.0,-1.2453783468305313
36,5,2,20,0.0,0.04198680551775076
36,5,20,31,0.0,-0.5803300078115905
36,5,3,21,0.0,0.0
36,5,21,31,0.0,-0.7914271329504046
36,5,4,24,2.0,-0.08214168065921537
36,5,22,30,2.0,-0.809206721473389
36,5,5,27,0.0,0.05
36,5,23,27,0.0,-0.6678325965945233
36,6,9,19,0.0,-0.05
36,6,17,26,0.0,0.0
36,6,10,13,0.0,0.011926430265351909
36,6,18,31,0.0,0.06884098886952772
36,6,11,13,0.0,0.0
36,6,19,30,0.0,-0.40198092156913035
36,6,12,13,0.0,0.0
36,6,20,31,0.0,-1.0709731800988083
36,6,13,15,0.0,0.0
36,6,21,31,0.0,-0.8019931270161129
36,6,14,15,0.0,0.0
36,6,22,30,0.0,-0.5890883145965855
36,6,15,16,2.0,0.0
36,6,23,27,2.0,0.0644441571727919
36,7,4,24,0.0,0.0
36,7,12,13,0.0,0.0
36,7,5,27,0.0,-0.22221814356475927
36,7,13,15,0.0,0.0
36,7,6,22,0.0,-0.05
36,7,14,15,0.0,0.0
36,7,7,22,0.0,-0.4467183704134774
36,7,15,16,0.0,0.0
36,7,8,17,2.0,0.0
36,7,16,24,2.0,0.0
36,7,9,19,0.0,0.05
36,7,17,26,0.0,0.025000000000000022
36,7,10,13,0.0,0.0
36,7,18,31,0.0,-0.5558266457890446
36,9,8,17,0.0,0.0
36,9,16,24,0.0,0.0
36,9,9,19,-2.0,0.0
36,9,17,26,-2.0,0.0
36,9,10,13,-2.0,0.0
36,9,18,31,-2.0,-0.15462263470457993
36,9,11,13,0.0,0.0
36,9,19,30,0.0,-0.977170888893772
36,9,12,13,0.0,0.0
36,9,20,31,0.0,-0.5997789701382339
36,9,13,15,0.0,-0.009137169640701215
36,9,21,31,0.0,-0.4508590797458536
36,9,14,15,4.0,-0.047894821907953265
36,9,22,30,4.0,-0.6309558035052456
72,0,17,35,0.0,0.0
72,0,29,31,0.0,0.0
72,0,18,37,-2.0,-0.0037839913709855344
72,0,30,34,-2.0,-0.0374405544273425
72,0,19,35,0.0,-0.0024705675659075165
72,0,31,34,0.0,-0.0574104309155295
72,0,20,33,0.0,0.0
72,0,32,37,0.0,-0.023000254088925615
72,0,21,34,0.0,-0.05600794866172909
72,0,33,39,0.0,0.004539894592741983
72,0,22,33,0.0,0.03340550523703398
72,0,34,52,0.0,-0.014258516240036994
72,0,23,29,0.0,-0.2922458576828802
72,0,35,52,0.0,-0.19722238439243145
72,0,24,29,0.0,-0.02683215035301213
72,0,36,58,0.0,0.23850001085750372
72,0,25,30,0.0,0.02568271140821135
72,0,37,58,0.0,0.06837152107630534
72,0,26,32,0.0,-0.037601504885408324
72,0,38,59,0.0,0.25385423680637204
72,0,27,31,0.0,0.1
72,0,39,59,0.0,-0.1981014103134904
72,1,4,48,0.0,-0.07512809837041323
72,1,28,31,0.0,0.0
72,1,5,49,0.0,-0.023547051442548456
72,1,29,31,0.0,0.0
72,1,6,52,0.0,-0.12918526560618931
72,1,30,34,0.0,-0.008267097617151059
72,1,7,51,0.0,-0.029809768959401784
72,1,31,34,0.0,0.0
72,1,8,51,0.0,-0.022231412584346494
72,1,32,37,0.0,-0.016328927149586496
72,1,9,53,-2.0,0.04454434074540323
72,1,33,39,-2.0,-0.09484339186873035
72,1,10,52,0.0,0.075
72,1,34,52,0.0,0.08673751198577956
72,1,11,53,0.0,-0.15275107134411117
72,1,35,52,0.0,-0.057860585304797346
72,1,12,53,0.0,0.028379823235725687
72,1,36,58,0.0,-0.20568586974586245
72,1,13,54,0.0,0.36623553052206625
72,1,37,58,0.0,0.1201251454494936
72,1,14,45,0.0,-0.21797257629757033
72,1,38,59,0.0,-0.1041709552378775
72,1,15,42,2.0,-0.08533065086829725
72,1,39,59,2.0,0.011541258645576993
72,1,16,36,0.0,-0.09414078372944785
72,1,40,57,0.0,-0.17178843223516568
72,1,17,35,0.0,-0.01871738425095832
72,1,41,54,0.0,0.2610927673968527
72,1,18,37,0.0,0.0
72,1,42,52,0.0,0.13578336019990214
72,1,19,35,0.0,-0.03089298739046616
72,1,43,47,0.0,-0.07573113339504312
72,1,20,33,0.0,-0.026119875107379575
72,1,44,44,0.0,0.1284487471140624
72,1,21,34,0.0,0.0
72,1,45,43,0.0,-0.2569733616224253
72,1,22,33,0.0,0.04753628737183798
72,1,46,42,0.0,-0.056846859914075634
72,1,23,29,0.0,0.009222082545259393
72,1,47,41,0.0,0.011404451822193762
72,2,0,39,0.0,0.0
72,2,34,52,0.0,-0.040952767469096624
72,2,1,40,0.0,-0.3611816857515024
72,2,35,52,0.0,-0.06294202762811506
72,2,2,42,-2.0,0.061550323171913314
72,2,36,58,-2.0,-0.07696456012804767
72,2,3,44,0.0,0.06914908123595367
72,2,37,58,0.0,-0.29036711332776377
72,2,4,48,0.0,-0.1623781463699734
72,2,38,59,0.0,0.058154103424776504
72,2,5,49,0.0,0.01551322882075909
72,2,39,59,0.0,-0.04972734329369026
72,2,6,52,0.0,0.033455175513098526
72,2,40,57,0.0,0.023957978814831166
72,2,7,51,0.0,0.04365961262476579
72,2,41,54,0.0,-0.2567437548699272
72,2,8,51,0.0,-0.2605545645384232
72,2,42,52,0.0,-0.09521258530132927
72,2,9,53,-2.0,-0.12349918239861024
72,2,43,47,-2.0,-0.1220186992912024
72,2,10,52,0.0,-0.01981344171530114
72,2,44,44,0.0,0.07604269494921573
72,2,11,53,0.0,-0.27909417758243416
72,2,45,43,0.0,0.08887992290321939
72,2,12,53,0.0,-0.09096464461667791
72,2,46,42,0.0,-0.032559549697392345
72,2,13,54,0.0,-0.10663190466435701
72,2,47,41,0.0,-0.04151677055144799
72,3,0,39,-2.0,-0.005337770452731083
72,3,12,53,-2.0,0.11575325281319931
72,3,1,40,0.0,0.026147263405778137
72,3,13,54,0.0,-0.2925813551106727
72,3,2,42,0.0,-0.05620491567124006
72,3,14,45,0.0,-0.1124456894834247
72,3,3,44,0.0,0.04999999999999999
72,3,15,42,0.0,-0.15
72,3,4,48,0.0,-0.11933539077391035
72,3,16,36,0.0,-0.05
72,3,5,49,0.0,0.18011233363931617
72,3,17,35,0.0,0.0
72,3,6,52,0.0,0.06944710605106938
72,3,18,37,0.0,0.0
72,3,7,51,2.0,0.01982019636204385
72,3,19,35,2.0,0.0
72,3,8,51,0.0,0.16231849626515246
